,Agency,Primary_Agency,Title,RIN,Stage,Recived_Date,Status,Econ_Signficance,Legal_Deadline,RIN_Link,DayScraped
0,USDA-APHIS,USDA,Establishing AWA Standards for Birds,0579-AE61,Proposed Rule,11/16/2021,Pending Review,No,Judicial,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202104&RIN=0579-AE61,11/30/21
1,USDA-FSA,USDA,Supplemental Dairy Margin Coverage Payments; Conservation Reserve Program; Dairy Indemnity Payment Program; Marketing Assistance Loans; Loan Deficiency Payments; Oriental Fruit Fly Program; and FSFL,0560-AI59,Final Rule,09/30/2021,Pending Review,Yes,None,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202104&RIN=0560-AI59,11/30/21
2,USDA-RHS,USDA,Single Family Housing Guaranteed Origination,0575-ZA05,Notice,06/25/2021,Pending Review,No,None,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=&RIN=0575-ZA05,11/30/21
3,DOC-BIS,DOC,Revision of Controls for Cambodia under the Export Administration Regulations,0694-AI65,Final Rule,11/16/2021,Pending Review,No,None,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=&RIN=0694-AI65,11/30/21
4,DOC-NOAA,DOC,NOAA Draft Policy for Hypoxia and Harmful Algal Bloom (HAB) Events of National Significance in Marine or Coastal Waters,0648-ZC29,Notice,07/13/2021,Pending Review,No,None,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=&RIN=0648-ZC29,11/30/21
5,DOC-NOAA,DOC,Regulatory Review and Update of National Marine Sanctuary Program Regulations,0648-AV85,Final Rule,08/09/2021,Pending Review,No,None,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202104&RIN=0648-AV85,11/30/21
6,DOD-DODOASHA,DOD,TRICARE: Chiropractic and Acupuncture Treatment Under the TRICARE Program,0720-AB77,Proposed Rule,09/15/2021,Pending Review,Yes,None,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202104&RIN=0720-AB77,11/30/21
7,DOD-OS,DOD,Guidance on Procedures and Processes for Submitting Undue Hardship Waivers,0790-ZA16,Notice,11/19/2021,Pending Review,No,None,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=&RIN=0790-ZA16,11/30/21
8,DOD-COE,DOD,Credit Assistance for Water Resources Infrastructure Projects,0710-AB31,Interim Final Rule,07/08/2021,Pending Review,No,None,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202104&RIN=0710-AB31,11/30/21
9,DOE-EE,DOE,Energy Efficiency Standards for New Federal Commercial and Multi-Family High-Rise Residential Buildings Baseline Standards Update,1904-AE44,Final Rule,09/20/2021,Pending Review,Yes,Statutory,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202104&RIN=1904-AE44,11/30/21
10,DOE-EE,DOE,Energy Efficiency Standards for the Design and Construction of New Federal Low-Rise Residential Buildings,1904-AF04,Final Rule,09/20/2021,Pending Review,No,Statutory,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202104&RIN=1904-AF04,11/30/21
11,DOE-EE,DOE,Backstop Requirement for General Service Lamps,1904-AF09,Proposed Rule,09/21/2021,Pending Review,No,Statutory,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202104&RIN=1904-AF09,11/30/21
12,DOE-EE,DOE,Energy Conservation Standards for Pool Heaters,1904-AD49,Proposed Rule,10/06/2021,Pending Review,Yes,Statutory,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202104&RIN=1904-AD49,11/30/21
13,DOE-EE,DOE,Showerhead Definition Rule,1904-AE85,Final Rule,11/15/2021,Pending Review,No,None,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202104&RIN=1904-AE85,11/30/21
14,DOE-EE,DOE,Energy Conservation Standards for Room Air Conditioners,1904-AD97,Proposed Rule,11/26/2021,Pending Review,Yes,Statutory,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202104&RIN=1904-AD97,11/30/21
15,HHS-ACF,HHS,Native Hawaiian Revolving Loan Fund Eligibility Requirements,0970-AC84,Proposed Rule,10/06/2021,Pending Review,No,None,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202104&RIN=0970-AC84,11/30/21
16,HHS-ACF,HHS,Updating Refugee Resettlement Program Requirements,0970-AC74,Proposed Rule,10/15/2021,Pending Review,No,None,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202104&RIN=0970-AC74,11/30/21
17,HHS-CMS,HHS,"Durable Medical Equipment, Prosthetics, Orthotics and Supplies (DMEPOS) Policy Issues and Level II of the Healthcare Common Procedure Coding System (HCPCS) (CMS-1738)",0938-AU17,Final Rule,10/18/2021,Pending Review,Yes,Statutory,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202104&RIN=0938-AU17,11/30/21
18,HHS-CMS,HHS,HHS Notice of Benefit and Payment Parameters for 2023 (CMS-9911),0938-AU65,Proposed Rule,11/09/2021,Pending Review,Yes,None,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202104&RIN=0938-AU65,11/30/21
19,HHS-CMS,HHS,Policy and Technical Changes to the Medicare Advantage Program and Medicare Prescription Drug Benefit Program; MOOP and Cost Sharing Limits (CMS-4190),0938-AT97,Final Rule,11/10/2021,Pending Review,No,Statutory,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202104&RIN=0938-AT97,11/30/21
20,HHS-CMS,HHS,Hospital Inpatient Prospective Payment Systems for Acute Care Hospitals; the Long-Term Care Hospital Prospective Payment System; and FY 2022 Rates (CMS-1752),0938-AU44,Final Rule,11/15/2021,Pending Review,Yes,Statutory,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202104&RIN=0938-AU44,11/30/21
21,HHS-CMS,HHS,Most Favored Nation (MFN) Model (CMS-5528),0938-AT91,Final Rule,11/24/2021,Pending Review,Yes,Statutory,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202104&RIN=0938-AT91,11/30/21
22,HHS-CMS,HHS,Contract Year 2023 Policy and Technical Changes to the Medicare Advantage and Medicare Prescription Drug Benefit Programs (CMS-4192),0938-AU30,Proposed Rule,11/24/2021,Pending Review,Yes,None,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202104&RIN=0938-AU30,11/30/21
23,HHS-FDA,HHS,Action Levels for Lead in Juice; Draft Guidance for Industry,0910-ZA87,Notice,03/30/2021,Pending Review,No,None,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=&RIN=0910-ZA87,11/30/21
24,HHS-FDA,HHS,Inorganic Arsenic in Apple Juice:  Action Level; Guidance for Industry,0910-ZA88,Notice,04/05/2021,Pending Review,No,None,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=&RIN=0910-ZA88,11/30/21
25,HHS-FDA,HHS,National Standards for the Licensure of Wholesale Drug Distributors and Third-Party Logistics Providers,0910-AH11,Proposed Rule,11/02/2021,Pending Review,No,Statutory,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202104&RIN=0910-AH11,11/30/21
26,HHS-FDA,HHS,"Nutrient Content Claims, Definition of Term: Healthy",0910-AI13,Proposed Rule,11/17/2021,Pending Review,Yes,None,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202104&RIN=0910-AI13,11/30/21
27,HHS-HRSA,HHS,340B Drug Pricing Program; Administrative Dispute Resolution,0906-AB28,Proposed Rule,11/18/2021,Pending Review,No,None,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=&RIN=0906-AB28,11/30/21
28,HHS-SAMHSA,HHS,Mandatory Guidelines for Federal Workplace Drug Testing Programs--Urine,0930-AA36,Proposed Rule,09/20/2021,Pending Review,No,None,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202104&RIN=0930-AA36,11/30/21
29,HHS-SAMHSA,HHS,Mandatory Guidelines for Federal Workplace Drug Testing Programs--Oral/Fluid,0930-AA37,Proposed Rule,09/20/2021,Pending Review,No,None,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202104&RIN=0930-AA37,11/30/21
30,DHS-FEMA,DHS,Update to FEMA's Regulations on Rulemaking Procedures,1660-AA91,Final Rule,06/11/2018,Pending Review,No,None,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=1660-AA91,11/30/21
31,DHS-FEMA,DHS,Hazard Mitigation Assistance: Building Resilient Infrastructure and Communities,1660-ZA23,Notice,09/28/2021,Pending Review,Yes,None,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=&RIN=1660-ZA23,11/30/21
32,DHS-USCG,DHS,Deepwater Ports,1625-AB92,Final Rule,09/02/2021,Pending Review,No,None,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202104&RIN=1625-AB92,11/30/21
33,DHS-USCG,DHS,Type-approval Testing Methods for Ballast Water Management Systems that Render Nonviable Organisms in Ballast Water.,1625-ZA42,Notice,09/21/2021,Pending Review,No,None,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=&RIN=1625-ZA42,11/30/21
34,HUD-OH,HUD,Increased 40-year Term for Loan Modifications (FR-6263),2502-AJ59,Proposed Rule,11/17/2021,Pending Review,No,None,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202104&RIN=2502-AJ59,11/30/21
35,HUD-PIH,HUD,"Economic Growth, Regulatory Relief, and Consumer Protection Act -- Changes to Family Self-Sufficiency (FSS) Program (FR-6114)",2577-AD09,Final Rule,11/26/2021,Pending Review,No,Statutory,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202104&RIN=2577-AD09,11/30/21
36,DOL-EBSA,DOL,Possible Agency Actions to Protect Life Savings and Pensions from Threats of Climate-Related Financial Risk,1210-ZA30,Prerule,11/10/2021,Pending Review,No,None,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=&RIN=1210-ZA30,11/30/21
37,DOL-ETA,DOL,Wagner-Peyser Act Staffing,1205-AC02,Proposed Rule,09/29/2021,Pending Review,No,None,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202104&RIN=1205-AC02,11/30/21
38,DOL-OSHA,DOL,Improve Tracking of Workplace Injuries and Illnesses,1218-AD40,Proposed Rule,10/01/2021,Pending Review,No,None,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202104&RIN=1218-AD40,11/30/21
39,DOL-OLMS,DOL,Form T-1: Reports by Labor Organizations on Related Organizations,1245-AA12,Final Rule,11/01/2021,Pending Review,No,Statutory,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202104&RIN=1245-AA12,11/30/21
40,STATE,STATE,Department of State Acquisition Regulations: Name Check Vetting in Contracts and Grants,1400-AF09,Proposed Rule,08/23/2021,Pending Review,No,None,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202104&RIN=1400-AF09,11/30/21
41,STATE,STATE,Enforcement of Nondiscrimination on the Basis of Disability in Programs or Activities Conducted by the Department of State,1400-AE03,Proposed Rule,08/24/2021,Pending Review,No,None,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202104&RIN=1400-AE03,11/30/21
42,STATE,STATE,"International Traffic in Arms Regulations: Activities Not Exports, Re-Exports, or Transfers",1400-AE76,Final Rule,08/25/2021,Pending Review,No,None,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202104&RIN=1400-AE76,11/30/21
43,STATE,STATE,Economic and Other Functions:  Electronic Filing of Trade Documents for Shrimp and Products From Shrimp,1400-AE63,Proposed Rule,09/10/2021,Pending Review,No,None,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202104&RIN=1400-AE63,11/30/21
44,STATE,STATE,"Public Access to Information: Amendments Pursuant to the FOIA Improvement Act of 2016, and Other Changes",1400-AE00,Final Rule,11/08/2021,Pending Review,No,None,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202104&RIN=1400-AE00,11/30/21
45,STATE,STATE,International Traffic in Arms Regulations: Addition of Cambodia to List of Proscribed Countries,1400-AF47,Final Rule,11/16/2021,Pending Review,No,None,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=&RIN=1400-AF47,11/30/21
46,DOT-NHTSA,DOT,Corporate Average Fuel Economy (CAFE) Preemption,2127-AM33,Final Rule,11/24/2021,Pending Review,No,None,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202104&RIN=2127-AM33,11/30/21
47,DOT-OST,DOT,Accessible Lavatories on Single-Aisle Aircraft: Part II,2105-AE89,Proposed Rule,11/08/2021,Pending Review,No,None,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202104&RIN=2105-AE89,11/30/21
48,DOT-PHMSA,DOT,Pipeline Safety: Coastal Ecological Unusually Sensitive Areas,2137-AF31,Interim Final Rule,10/26/2021,Pending Review,No,None,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202104&RIN=2137-AF31,11/30/21
49,TREAS-CUSTOMS,TREAS,Merchandise Produced by Convict or Forced Labor or Indentured Labor Under Penal Sanctions,1515-AE36,Proposed Rule,05/04/2021,Pending Review,No,None,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202104&RIN=1515-AE36,11/30/21
50,TREAS-DO,TREAS,Coronavirus State and Local Fiscal Recovery Funds,1505-AC77,Final Rule,11/10/2021,Pending Review,Yes,None,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=&RIN=1505-AC77,11/30/21
51,TREAS-FINCEN,TREAS,Section 6403. Corporate Transparency Act,1506-AB49,Proposed Rule,11/10/2021,Pending Review,Yes,Statutory,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202104&RIN=1506-AB49,11/30/21
52,VA,VA,Modifying Copayments for Veterans at High Risk for Suicide,2900-AQ30,Proposed Rule,07/01/2021,Pending Review,No,None,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202104&RIN=2900-AQ30,11/30/21
53,VA,VA,"Schedule for Rating Disabilities--Ear, Nose, Throat, and Audiology Disabilities; Special Provisions Regarding Evaluation of Respiratory Conditions; Respiratory System",2900-AQ72,Proposed Rule,07/30/2021,Pending Review,Yes,None,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202104&RIN=2900-AQ72,11/30/21
54,VA,VA,Schedule for Rating Disabilities: The Digestive System,2900-AQ90,Proposed Rule,08/31/2021,Pending Review,Yes,None,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202104&RIN=2900-AQ90,11/30/21
